Image #, x, y 
127,-13294.220000000003,-12176.370000000003 
128,-13631.020000000004,-12003.390000000003 
129,-9954.371000000003,-7497.120000000002 
130,-8146.101000000002,-5793.250000000002 
131,-7389.202000000002,-13735.250000000004 
132,-7533.1010000000015,-13735.250000000004 
133,-8002.202000000002,-5793.250000000002 
134,-8374.982000000002,-14112.344500000003 
135,-9461.374000000002,-14114.201500000003 
136,-7389.202000000002,-13735.250000000004 
137,-7533.1010000000015,-13735.250000000004 
138,-8002.202000000002,-5793.250000000002 
139,-8146.101000000002,-5793.250000000002 
140,-5752.382000000001,-6227.380000000001 
141,-5752.382000000001,-6325.173000000001 
142,-5752.3420000000015,-6075.890000000001 
143,-5752.3420000000015,-6096.410000000002 
144,-5826.990000000002,-5616.265000000001 
145,-5833.290000000002,-5616.265000000001 
146,-14146.990000000003,-5616.265000000001 
147,-14146.990000000003,-14116.265000000003 
148,-14153.290000000003,-5616.265000000001 
149,-14153.290000000003,-14116.265000000003 
150,-7945.152000000002,-14356.049000000003 
151,-5752.3420000000015,-6189.020000000001 
152,-5752.642000000002,-6085.870000000002 
153,-6163.972000000002,-14105.235000000004 
